Risk_ID,Year,Company,Industry,Risk_Category,Risk_Type,AI_Adoption_Rate,Competitor_AI_Investment_USD_B,Market_Share_Change_Pct,Customer_Churn_Rate_Pct,Inventory_Turnover_Improvement_Pct,Likelihood_Score_1_9,Impact_Score_1_9,Probability_0_1,Financial_Impact_USD_M,Expected_Loss_USD_M,Risk_Priority,Outcome,Risk_Score
RE164,2024,Best Buy,E-Commerce,Competitive,Vendor Dependency,0.5,5.58,-7.66,14.64,2.48,3,6,0.63,8491.0,5349.0,Medium,Opportunity Captured,18
RE165,2024,Kroger,Consumer Electronics,Technology,Data Breach,0.24,19.67,-7.43,1.98,9.7,3,2,0.7,3822.0,2675.0,Low,Loss Avoided,6
RE166,2023,Dollar General,Retail,Financial,Data Breach,0.65,18.5,-6.44,8.77,-4.66,3,4,0.93,13734.0,12773.0,Low,Loss Realized,12
RE167,2024,Dollar General,Pharmacy,Competitive,Data Breach,0.89,7.86,-5.65,11.47,25.03,3,1,0.39,4022.0,1569.0,Low,Opportunity Captured,3
RE168,2020,Best Buy,E-Commerce,Financial,AI Model Failure,0.7,8.48,-0.68,12.34,20.59,9,1,0.77,13442.0,10350.0,Low,Loss Realized,9
RE169,2018,Dollar General,Retail,Technology,Legacy Integration Failure,0.69,19.92,-6.27,6.79,28.14,3,4,0.44,1597.0,703.0,Low,Loss Avoided,12
RE170,2024,Kroger,Grocery,Operational,AI Model Failure,0.86,11.81,-6.69,3.86,22.36,7,6,0.83,9866.0,8189.0,High,Loss Avoided,42
RE171,2024,Target,Consumer Electronics,Technology,Market Share Erosion,0.26,18.41,0.41,1.59,5.98,9,8,0.21,13609.0,2858.0,High,Loss Realized,72
RE172,2019,Best Buy,Retail,Technology,Vendor Dependency,0.55,4.13,-0.62,9.12,3.68,3,6,0.9,2573.0,2316.0,Medium,Loss Avoided,18
RE173,2019,Amazon,E-Commerce,Financial,Revenue Loss,0.88,21.39,-3.21,7.34,19.42,1,2,0.25,14526.0,3632.0,Low,Loss Realized,2
RE174,2021,CVS,Grocery,Compliance,Legacy Integration Failure,0.23,17.92,-1.96,14.28,7.74,5,9,0.34,6821.0,2319.0,High,Loss Avoided,45
RE175,2022,Dollar General,E-Commerce,Reputational,AI Model Failure,0.66,22.72,-4.57,1.85,14.82,5,8,0.73,14188.0,10357.0,High,Loss Avoided,40
RE176,2020,Dollar General,E-Commerce,Reputational,AI Model Failure,0.57,3.74,-2.69,10.6,-4.78,5,6,0.4,10168.0,4067.0,Medium,Partial Loss,30
RE177,2024,Walmart,Grocery,Operational,Regulatory Non-Compliance,0.57,15.03,-2.43,1.35,-2.83,9,9,0.6,4559.0,2735.0,High,Partial Loss,81
RE178,2024,Home Depot,E-Commerce,Operational,AI Model Failure,0.66,15.18,-3.74,3.4,13.74,3,9,0.45,2865.0,1289.0,Medium,Loss Realized,27
RE179,2018,Best Buy,Grocery,Reputational,Workforce Resistance,0.84,9.16,1.97,7.35,14.81,9,4,0.72,4591.0,3306.0,Medium,Loss Avoided,36
RE180,2021,Walgreens,Retail,Compliance,Revenue Loss,0.73,11.73,-7.82,7.37,21.3,7,2,0.26,1441.0,375.0,Low,Loss Avoided,14
RE181,2022,Dollar General,Grocery,Reputational,Workforce Resistance,0.14,1.43,0.6,10.6,-0.38,1,2,0.1,2201.0,220.0,Low,Loss Realized,2
RE182,2021,CVS,Grocery,Compliance,Revenue Loss,0.78,18.77,-6.63,13.74,12.96,1,2,0.32,1615.0,517.0,Low,Partial Loss,2
RE183,2023,Amazon,Consumer Electronics,Operational,Vendor Dependency,0.28,13.96,0.77,9.95,1.81,5,8,0.48,6373.0,3059.0,High,Partial Loss,40
RE184,2022,Dollar General,Grocery,Competitive,Revenue Loss,0.4,1.91,-1.22,14.35,-1.74,5,1,0.2,11944.0,2389.0,Low,Loss Realized,5
RE185,2024,Amazon,Grocery,Financial,Workforce Resistance,0.47,17.18,1.28,13.34,9.37,5,8,0.37,2164.0,801.0,High,Loss Avoided,40
RE186,2024,Kroger,Retail,Operational,Revenue Loss,0.48,11.94,-6.93,9.18,0.72,3,6,0.41,1998.0,819.0,Medium,Loss Realized,18
RE187,2022,Kroger,Consumer Electronics,Operational,Vendor Dependency,0.45,1.34,-1.85,12.67,2.76,7,9,0.1,9669.0,967.0,High,Loss Avoided,63
RE188,2024,Home Depot,Pharmacy,Technology,Vendor Dependency,0.85,24.26,-2.49,10.0,6.11,7,9,0.57,2998.0,1709.0,High,Loss Realized,63
RE189,2020,Target,Retail,Technology,Market Share Erosion,0.66,23.75,-0.23,2.1,4.08,7,1,0.85,1509.0,1283.0,Low,Opportunity Captured,7
RE190,2022,Walgreens,Retail,Technology,Revenue Loss,0.6,13.07,-2.12,11.37,-1.93,7,6,0.19,2544.0,483.0,High,Partial Loss,42
RE191,2021,Walmart,Pharmacy,Financial,Regulatory Non-Compliance,0.14,2.79,-2.05,2.33,-1.85,5,1,0.59,13860.0,8177.0,Low,Loss Avoided,5
RE192,2022,Home Depot,Grocery,Technology,Data Breach,0.82,18.99,-3.27,9.32,1.76,1,9,0.65,12331.0,8015.0,Low,Loss Avoided,9
RE193,2024,Costco,E-Commerce,Compliance,Customer Attrition,0.83,12.55,-4.6,10.84,-3.23,5,8,0.43,5343.0,2297.0,High,Opportunity Captured,40
RE194,2020,Walmart,Consumer Electronics,Reputational,Vendor Dependency,0.72,7.91,-2.7,1.93,16.93,7,2,0.68,9855.0,6701.0,Low,Loss Avoided,14
RE195,2020,Best Buy,E-Commerce,Competitive,Supply Chain Disruption,0.11,12.54,-6.7,4.23,5.06,5,9,0.42,8082.0,3394.0,High,Loss Realized,45
RE196,2023,CVS,Pharmacy,Operational,Data Breach,0.15,13.3,2.58,13.82,4.79,7,4,0.5,10173.0,5086.0,Medium,Loss Avoided,28
RE197,2021,Costco,Retail,Compliance,Legacy Integration Failure,0.28,14.29,-0.14,9.63,6.62,9,2,0.06,10256.0,615.0,Medium,Partial Loss,18
RE198,2019,Costco,Retail,Competitive,Revenue Loss,0.21,11.31,2.48,4.45,18.2,1,9,0.67,9450.0,6332.0,Low,Loss Avoided,9
RE199,2019,Home Depot,Consumer Electronics,Compliance,Workforce Resistance,0.42,15.34,-5.51,10.67,25.47,9,8,0.65,4028.0,2618.0,High,Loss Avoided,72
RE200,2022,Target,Retail,Compliance,Customer Attrition,0.84,23.01,1.67,9.35,21.57,3,1,0.08,633.0,51.0,Low,Partial Loss,3
RE201,2023,Home Depot,Retail,Operational,Supply Chain Disruption,0.48,9.38,0.9,8.02,20.46,5,2,0.38,6861.0,2607.0,Low,Partial Loss,10
RE202,2018,Best Buy,Consumer Electronics,Reputational,Data Breach,0.11,18.28,-0.55,14.67,11.95,3,8,0.93,13370.0,12434.0,Medium,Opportunity Captured,24
RE203,2022,Dollar General,Consumer Electronics,Technology,Revenue Loss,0.33,22.41,-1.12,10.57,19.28,5,6,0.43,8564.0,3683.0,Medium,Loss Realized,30
RE204,2023,Dollar General,Pharmacy,Financial,Market Share Erosion,0.14,11.67,-4.52,6.26,14.35,9,4,0.5,12494.0,6247.0,Medium,Loss Avoided,36
RE205,2021,Target,Retail,Reputational,Legacy Integration Failure,0.13,11.36,0.98,12.2,2.57,7,2,0.87,14875.0,12941.0,Low,Partial Loss,14
RE206,2021,Best Buy,Retail,Financial,Customer Attrition,0.32,15.25,-2.48,13.38,2.3,7,1,0.7,2496.0,1747.0,Low,Partial Loss,7
RE207,2021,Target,Pharmacy,Operational,Regulatory Non-Compliance,0.32,14.99,-7.22,2.75,5.37,5,6,0.57,10392.0,5923.0,Medium,Loss Avoided,30
RE208,2021,Amazon,Grocery,Operational,Market Share Erosion,0.73,20.26,-4.56,3.81,26.88,7,8,0.77,10131.0,7801.0,High,Loss Realized,56
RE209,2021,Dollar General,Grocery,Operational,Supply Chain Disruption,0.88,12.17,2.29,4.03,14.16,9,4,0.83,14700.0,12201.0,Medium,Partial Loss,36
RE210,2023,Costco,Grocery,Competitive,Customer Attrition,0.4,24.91,1.36,10.68,20.69,7,1,0.46,14785.0,6801.0,Low,Partial Loss,7
RE211,2023,Walgreens,Pharmacy,Financial,Market Share Erosion,0.44,1.96,2.8,9.44,7.13,9,8,0.48,10316.0,4952.0,High,Loss Realized,72
RE212,2020,CVS,Retail,Reputational,Legacy Integration Failure,0.78,0.58,-1.09,9.67,9.27,3,8,0.4,3692.0,1477.0,Medium,Loss Avoided,24
RE213,2019,Best Buy,Pharmacy,Reputational,Regulatory Non-Compliance,0.31,16.18,-5.28,14.17,-0.61,9,2,0.92,11988.0,11029.0,Medium,Loss Realized,18
RE214,2024,Walmart,Pharmacy,Compliance,Market Share Erosion,0.23,7.81,-6.21,11.86,1.0,1,2,0.68,1650.0,1122.0,Low,Loss Avoided,2
RE215,2021,Target,Grocery,Compliance,AI Model Failure,0.78,6.39,-5.94,2.79,23.96,1,1,0.12,11721.0,1407.0,Low,Loss Realized,1
RE216,2018,CVS,E-Commerce,Compliance,Regulatory Non-Compliance,0.14,8.14,-7.78,5.87,15.47,1,9,0.83,13657.0,11335.0,Low,Loss Avoided,9
RE217,2024,Walmart,Retail,Operational,Supply Chain Disruption,0.6,6.77,-3.7,7.1,6.81,5,9,0.48,5773.0,2771.0,High,Loss Avoided,45
RE218,2023,CVS,Grocery,Reputational,Legacy Integration Failure,0.55,1.25,-5.89,6.54,23.1,5,8,0.11,9478.0,1043.0,High,Loss Avoided,40
RE219,2018,Walgreens,E-Commerce,Financial,Revenue Loss,0.38,24.3,-3.47,10.37,3.63,5,2,0.54,6481.0,3500.0,Low,Loss Avoided,10
RE220,2018,Walmart,E-Commerce,Operational,Workforce Resistance,0.35,5.91,2.28,13.49,29.16,9,4,0.43,6595.0,2836.0,Medium,Partial Loss,36
RE221,2018,Home Depot,Consumer Electronics,Competitive,Workforce Resistance,0.72,18.48,-3.26,5.28,7.07,5,4,0.84,4690.0,3940.0,Medium,Loss Realized,20
RE222,2020,Kroger,Retail,Compliance,Workforce Resistance,0.17,19.18,1.66,8.73,6.81,3,8,0.23,11444.0,2632.0,Medium,Loss Realized,24
RE223,2023,Home Depot,E-Commerce,Operational,Customer Attrition,0.29,23.27,-1.34,12.05,5.92,1,2,0.79,14046.0,11096.0,Low,Partial Loss,2
RE224,2018,Dollar General,Grocery,Operational,Supply Chain Disruption,0.69,1.25,-5.28,6.83,-0.73,9,1,0.55,14114.0,7763.0,Low,Loss Realized,9
RE225,2021,Kroger,Consumer Electronics,Competitive,Legacy Integration Failure,0.54,21.87,-4.09,3.35,-1.11,1,1,0.1,2663.0,266.0,Low,Opportunity Captured,1
RE226,2022,Home Depot,Retail,Technology,Regulatory Non-Compliance,0.2,13.42,-7.08,7.65,17.68,5,1,0.92,13127.0,12077.0,Low,Partial Loss,5
RE227,2018,Kroger,Pharmacy,Reputational,Customer Attrition,0.81,16.0,-4.33,1.77,25.63,9,4,0.51,11075.0,5648.0,Medium,Loss Avoided,36
RE228,2020,Kroger,Grocery,Financial,Supply Chain Disruption,0.41,16.29,-0.55,14.19,22.67,7,2,0.31,3830.0,1187.0,Low,Opportunity Captured,14
RE229,2024,Costco,E-Commerce,Technology,Revenue Loss,0.76,20.59,-7.21,2.05,-0.06,3,2,0.47,1056.0,496.0,Low,Loss Realized,6
RE230,2023,Target,E-Commerce,Compliance,AI Model Failure,0.73,8.67,-5.74,7.14,14.1,5,4,0.82,4057.0,3327.0,Medium,Loss Avoided,20
RE231,2020,Target,Grocery,Operational,Legacy Integration Failure,0.6,18.46,-3.8,8.42,-1.3,5,1,0.32,13688.0,4380.0,Low,Loss Avoided,5
RE232,2018,Costco,E-Commerce,Competitive,Workforce Resistance,0.5,13.45,2.8,14.79,-3.41,3,1,0.22,9516.0,2094.0,Low,Loss Avoided,3
RE233,2023,CVS,Consumer Electronics,Competitive,Market Share Erosion,0.88,19.94,0.63,3.32,17.97,3,8,0.17,10830.0,1841.0,Medium,Opportunity Captured,24
RE234,2022,Amazon,Retail,Reputational,Legacy Integration Failure,0.22,24.77,0.07,2.6,13.73,7,9,0.32,3894.0,1246.0,High,Loss Realized,63
RE235,2018,CVS,Consumer Electronics,Technology,Vendor Dependency,0.68,5.42,-6.72,1.12,-2.13,5,6,0.75,10805.0,8104.0,Medium,Loss Avoided,30
RE236,2020,Walmart,E-Commerce,Reputational,Supply Chain Disruption,0.25,24.87,0.59,3.18,-3.78,5,9,0.47,470.0,221.0,High,Loss Avoided,45
RE237,2019,Walmart,Pharmacy,Operational,Data Breach,0.37,2.7,0.64,3.9,29.64,1,2,0.25,5661.0,1415.0,Low,Loss Avoided,2
RE238,2021,Kroger,Retail,Reputational,Revenue Loss,0.35,0.56,-1.39,9.83,-3.95,9,2,0.2,9420.0,1884.0,Medium,Loss Realized,18
RE239,2024,Home Depot,Retail,Financial,AI Model Failure,0.86,1.58,2.89,4.08,10.56,9,2,0.35,2234.0,782.0,Medium,Loss Avoided,18
RE240,2020,Home Depot,Grocery,Competitive,Revenue Loss,0.87,8.87,-4.42,1.29,12.66,1,9,0.9,12354.0,11119.0,Low,Partial Loss,9
RE241,2023,Target,Grocery,Competitive,Legacy Integration Failure,0.25,16.01,2.35,12.57,-0.9,9,6,0.36,3564.0,1283.0,High,Loss Realized,54
RE242,2018,Best Buy,Pharmacy,Compliance,Data Breach,0.12,2.19,2.06,6.12,0.92,3,8,0.94,9802.0,9214.0,Medium,Partial Loss,24
RE243,2021,CVS,Retail,Compliance,Vendor Dependency,0.68,0.64,-7.87,5.95,7.31,9,9,0.49,6108.0,2993.0,High,Loss Avoided,81
RE244,2018,Dollar General,Pharmacy,Operational,Regulatory Non-Compliance,0.43,23.46,-3.05,5.23,21.66,9,6,0.21,8961.0,1882.0,High,Partial Loss,54
RE245,2023,Walgreens,Grocery,Financial,Market Share Erosion,0.17,20.64,2.75,14.66,12.75,1,1,0.85,1656.0,1408.0,Low,Partial Loss,1
RE246,2018,Home Depot,Grocery,Technology,Data Breach,0.65,20.32,-6.87,3.38,17.33,7,1,0.46,303.0,139.0,Low,Loss Realized,7
RE247,2019,Walgreens,Retail,Reputational,Supply Chain Disruption,0.54,22.17,-1.97,13.58,29.48,9,2,0.69,13648.0,9417.0,Medium,Loss Avoided,18
RE248,2021,Kroger,Consumer Electronics,Operational,Workforce Resistance,0.88,17.65,2.77,11.88,21.88,9,4,0.94,4081.0,3836.0,Medium,Partial Loss,36
RE249,2021,Walgreens,E-Commerce,Compliance,Vendor Dependency,0.28,3.06,-1.89,2.07,10.2,7,2,0.1,12304.0,1230.0,Low,Loss Avoided,14
RE250,2023,Dollar General,Grocery,Reputational,Market Share Erosion,0.42,10.28,-5.91,14.81,10.63,1,4,0.14,14990.0,2099.0,Low,Opportunity Captured,4
RE251,2024,Costco,Grocery,Compliance,AI Model Failure,0.53,18.22,-1.6,4.8,16.66,7,6,0.7,3211.0,2248.0,High,Loss Avoided,42
RE252,2019,Dollar General,Consumer Electronics,Reputational,Workforce Resistance,0.73,7.37,-5.75,2.38,18.29,1,1,0.3,4014.0,1204.0,Low,Loss Realized,1
RE253,2020,Walgreens,Consumer Electronics,Technology,Legacy Integration Failure,0.54,17.34,-2.28,12.61,12.52,3,9,0.22,9960.0,2191.0,Medium,Loss Avoided,27
RE254,2018,Dollar General,Pharmacy,Operational,Data Breach,0.59,1.1,-7.19,10.89,17.57,1,4,0.09,14483.0,1303.0,Low,Opportunity Captured,4
RE255,2022,Amazon,Pharmacy,Reputational,Market Share Erosion,0.28,8.0,-1.34,9.64,-4.18,3,6,0.07,13741.0,962.0,Medium,Loss Avoided,18
RE256,2018,Kroger,E-Commerce,Financial,Customer Attrition,0.78,13.95,-2.32,3.18,10.04,3,1,0.75,7568.0,5676.0,Low,Partial Loss,3
RE257,2018,CVS,E-Commerce,Competitive,Regulatory Non-Compliance,0.44,15.99,0.14,7.7,4.76,1,9,0.17,11937.0,2029.0,Low,Partial Loss,9
RE258,2020,Costco,Retail,Financial,Regulatory Non-Compliance,0.21,14.64,-1.06,11.93,-0.48,5,4,0.47,2079.0,977.0,Medium,Loss Avoided,20
RE259,2018,Home Depot,Pharmacy,Financial,Vendor Dependency,0.63,17.6,-1.95,5.25,-1.52,1,2,0.6,14663.0,8798.0,Low,Loss Realized,2
RE260,2019,Walmart,Grocery,Competitive,AI Model Failure,0.27,0.65,-0.41,5.36,16.11,9,2,0.44,14467.0,6365.0,Medium,Partial Loss,18
RE261,2019,CVS,Pharmacy,Financial,Vendor Dependency,0.18,2.97,-6.42,1.04,13.33,9,2,0.07,2498.0,175.0,Medium,Loss Avoided,18
RE262,2021,Walmart,Grocery,Reputational,Customer Attrition,0.79,21.79,-1.45,3.44,3.88,5,6,0.76,4526.0,3440.0,Medium,Partial Loss,30
RE263,2023,Kroger,Consumer Electronics,Reputational,Supply Chain Disruption,0.47,17.2,-6.11,13.26,11.48,3,2,0.06,1547.0,93.0,Low,Loss Avoided,6
RE264,2024,Costco,Pharmacy,Reputational,AI Model Failure,0.7,3.27,2.18,7.18,12.23,5,8,0.74,4112.0,3043.0,High,Loss Avoided,40
RE265,2022,Target,Consumer Electronics,Competitive,Revenue Loss,0.33,21.13,-7.25,14.78,1.83,9,1,0.85,12249.0,10412.0,Low,Partial Loss,9
RE266,2018,Home Depot,E-Commerce,Financial,Supply Chain Disruption,0.73,6.43,-3.27,6.54,17.82,5,6,0.44,5706.0,2511.0,Medium,Loss Avoided,30
RE267,2018,Amazon,E-Commerce,Competitive,AI Model Failure,0.19,12.22,-0.35,11.01,22.33,1,9,0.53,1372.0,727.0,Low,Loss Avoided,9
RE268,2020,Target,Retail,Reputational,AI Model Failure,0.38,4.06,-2.96,4.95,22.7,5,2,0.48,5166.0,2480.0,Low,Loss Avoided,10
RE269,2023,Kroger,Pharmacy,Financial,Customer Attrition,0.88,17.9,-6.99,6.09,16.09,3,1,0.4,14722.0,5889.0,Low,Loss Avoided,3
RE270,2019,CVS,Consumer Electronics,Financial,Legacy Integration Failure,0.74,16.84,-1.91,3.67,12.91,1,4,0.85,9464.0,8044.0,Low,Loss Avoided,4
RE271,2022,Amazon,Grocery,Compliance,Customer Attrition,0.5,5.67,-0.94,5.86,-2.86,7,2,0.85,6272.0,5331.0,Low,Partial Loss,14
RE272,2021,Dollar General,E-Commerce,Compliance,AI Model Failure,0.37,21.65,-0.26,8.66,5.07,9,1,0.35,2540.0,889.0,Low,Loss Avoided,9
RE273,2019,Walgreens,E-Commerce,Technology,Market Share Erosion,0.8,10.33,-3.89,14.88,-1.74,9,8,0.6,14793.0,8876.0,High,Loss Avoided,72
RE274,2023,Amazon,Grocery,Operational,Supply Chain Disruption,0.54,7.67,-1.8,10.3,28.73,5,4,0.88,12322.0,10843.0,Medium,Loss Avoided,20
RE275,2024,Kroger,Consumer Electronics,Compliance,Customer Attrition,0.71,4.23,-3.04,3.79,-0.27,1,8,0.92,4258.0,3917.0,Low,Loss Realized,8
RE276,2021,Best Buy,Consumer Electronics,Competitive,Legacy Integration Failure,0.7,7.02,-0.61,1.63,0.31,7,9,0.51,1098.0,560.0,High,Loss Realized,63
RE277,2024,Walgreens,Pharmacy,Compliance,Data Breach,0.11,1.04,-1.58,2.77,26.14,1,1,0.46,897.0,413.0,Low,Opportunity Captured,1
RE278,2020,Walmart,Pharmacy,Technology,Vendor Dependency,0.2,14.79,-2.22,8.88,28.04,9,8,0.3,1850.0,555.0,High,Partial Loss,72
RE279,2020,Home Depot,Retail,Financial,AI Model Failure,0.63,21.13,-5.26,11.71,21.8,1,9,0.91,8732.0,7946.0,Low,Loss Avoided,9
RE280,2018,Walmart,E-Commerce,Technology,Revenue Loss,0.23,13.95,-7.98,14.17,-4.81,7,1,0.18,13935.0,2508.0,Low,Loss Avoided,7
RE281,2024,Amazon,Pharmacy,Financial,Data Breach,0.3,5.87,-6.09,1.22,-4.95,5,1,0.57,7476.0,4261.0,Low,Loss Realized,5
RE282,2023,Walmart,Consumer Electronics,Financial,Regulatory Non-Compliance,0.86,1.32,-6.71,8.32,8.23,3,8,0.3,12652.0,3796.0,Medium,Loss Avoided,24
RE283,2022,Kroger,Grocery,Operational,Workforce Resistance,0.55,5.76,-3.06,7.59,0.02,1,1,0.3,6716.0,2015.0,Low,Loss Avoided,1
RE284,2021,Dollar General,Consumer Electronics,Compliance,Legacy Integration Failure,0.7,10.69,-1.27,10.18,-4.36,3,2,0.41,10643.0,4364.0,Low,Loss Avoided,6
RE285,2019,CVS,E-Commerce,Competitive,Revenue Loss,0.55,19.11,-5.66,8.83,11.24,9,1,0.95,10991.0,10441.0,Low,Loss Avoided,9
RE286,2023,Home Depot,Consumer Electronics,Competitive,Workforce Resistance,0.54,5.1,2.33,10.62,28.01,5,6,0.1,2651.0,265.0,Medium,Loss Realized,30
RE287,2023,Walmart,Retail,Reputational,Legacy Integration Failure,0.18,18.13,-7.93,10.21,6.33,5,9,0.57,5450.0,3106.0,High,Loss Realized,45
RE288,2020,Walmart,E-Commerce,Financial,Market Share Erosion,0.37,21.74,0.5,2.64,18.14,1,1,0.12,9578.0,1149.0,Low,Opportunity Captured,1
RE289,2024,Amazon,Grocery,Competitive,Vendor Dependency,0.33,11.62,-1.12,12.2,17.83,5,6,0.19,1107.0,210.0,Medium,Loss Avoided,30
RE290,2018,CVS,Retail,Operational,Data Breach,0.41,20.63,-3.89,2.73,3.79,1,1,0.45,5455.0,2455.0,Low,Loss Avoided,1
RE291,2018,Target,E-Commerce,Financial,Supply Chain Disruption,0.74,14.09,-7.44,10.78,17.76,1,1,0.51,8045.0,4103.0,Low,Loss Realized,1
RE292,2021,Walmart,Grocery,Operational,Legacy Integration Failure,0.4,16.11,-1.1,6.83,2.43,3,8,0.28,14944.0,4184.0,Medium,Loss Realized,24
RE293,2020,Kroger,Retail,Competitive,Supply Chain Disruption,0.46,13.39,-3.76,8.19,-0.73,5,2,0.33,7144.0,2358.0,Low,Partial Loss,10
RE294,2023,Best Buy,Retail,Competitive,Vendor Dependency,0.42,11.85,2.3,13.65,19.55,1,9,0.13,12250.0,1592.0,Low,Loss Avoided,9
RE295,2022,Home Depot,E-Commerce,Reputational,AI Model Failure,0.17,6.25,-2.04,13.46,-1.03,3,2,0.32,6509.0,2083.0,Low,Loss Avoided,6
RE296,2020,Walmart,Pharmacy,Competitive,Regulatory Non-Compliance,0.45,7.93,2.34,12.45,29.89,7,4,0.92,11956.0,11000.0,Medium,Loss Realized,28
RE297,2021,Kroger,Retail,Financial,Data Breach,0.26,7.6,-5.57,8.14,1.42,3,8,0.9,8951.0,8056.0,Medium,Partial Loss,24
RE298,2021,Kroger,Retail,Financial,Vendor Dependency,0.25,14.3,-0.02,11.31,15.79,3,8,0.35,13305.0,4657.0,Medium,Loss Realized,24
RE299,2020,Home Depot,Grocery,Financial,Vendor Dependency,0.18,3.44,-1.21,8.18,9.4,1,2,0.56,6194.0,3469.0,Low,Loss Realized,2
RE300,2021,Target,Consumer Electronics,Reputational,Market Share Erosion,0.39,22.96,0.13,13.17,-0.58,9,8,0.87,9084.0,7903.0,High,Loss Avoided,72
RE301,2020,Kroger,E-Commerce,Reputational,Workforce Resistance,0.71,18.16,-5.64,6.64,-4.03,9,2,0.06,9469.0,568.0,Medium,Loss Realized,18
RE302,2019,Best Buy,E-Commerce,Competitive,Regulatory Non-Compliance,0.32,10.34,-0.69,14.58,16.8,9,8,0.78,6290.0,4906.0,High,Loss Realized,72
RE303,2020,Kroger,Pharmacy,Technology,Data Breach,0.35,4.39,-2.52,14.05,23.24,3,1,0.9,2207.0,1986.0,Low,Loss Avoided,3
RE304,2024,Kroger,Pharmacy,Technology,AI Model Failure,0.61,22.11,0.17,11.38,24.47,1,2,0.13,1449.0,188.0,Low,Loss Avoided,2
RE305,2020,Kroger,E-Commerce,Reputational,AI Model Failure,0.26,20.68,-4.4,4.91,11.89,5,2,0.2,299.0,60.0,Low,Partial Loss,10
RE306,2021,Dollar General,Pharmacy,Competitive,Customer Attrition,0.82,18.18,1.79,2.84,22.21,3,6,0.91,13109.0,11929.0,Medium,Loss Avoided,18
RE307,2024,Dollar General,Grocery,Technology,Vendor Dependency,0.52,7.15,-7.07,12.97,18.55,3,8,0.53,3585.0,1900.0,Medium,Loss Realized,24
RE308,2021,Target,E-Commerce,Competitive,Legacy Integration Failure,0.46,10.36,0.88,3.31,20.35,1,8,0.06,3212.0,193.0,Low,Loss Realized,8
RE309,2018,Walmart,Pharmacy,Competitive,Market Share Erosion,0.55,3.02,1.47,12.96,12.24,7,2,0.28,11054.0,3095.0,Low,Opportunity Captured,14
RE310,2018,Kroger,E-Commerce,Competitive,Regulatory Non-Compliance,0.23,5.13,0.99,7.87,17.17,3,1,0.45,4834.0,2175.0,Low,Loss Avoided,3
RE311,2024,CVS,Consumer Electronics,Compliance,AI Model Failure,0.59,19.68,-2.36,6.69,23.19,7,1,0.67,7615.0,5102.0,Low,Partial Loss,7
RE312,2019,Walmart,Retail,Financial,Data Breach,0.39,18.02,-3.18,13.64,8.93,7,9,0.71,2480.0,1761.0,High,Loss Realized,63
RE313,2018,Target,E-Commerce,Competitive,Customer Attrition,0.82,15.04,2.96,9.45,23.21,9,1,0.95,14398.0,13678.0,Low,Loss Avoided,9
RE314,2020,Costco,Retail,Compliance,Data Breach,0.24,22.45,-5.48,9.07,15.72,1,8,0.31,12781.0,3962.0,Low,Loss Realized,8
RE315,2021,Walmart,Pharmacy,Reputational,Market Share Erosion,0.51,14.79,-1.98,8.82,0.81,7,6,0.53,12964.0,6871.0,High,Loss Avoided,42
RE316,2018,Walmart,Retail,Technology,Legacy Integration Failure,0.58,11.94,-0.62,6.2,-4.14,1,2,0.53,6131.0,3249.0,Low,Opportunity Captured,2
RE317,2018,Walgreens,E-Commerce,Financial,Customer Attrition,0.13,8.84,-0.29,12.0,7.7,9,4,0.42,11447.0,4808.0,Medium,Opportunity Captured,36
RE318,2019,Amazon,Consumer Electronics,Technology,Customer Attrition,0.39,23.54,-5.76,4.54,14.13,1,6,0.2,2201.0,440.0,Low,Loss Avoided,6
RE319,2024,Walgreens,Pharmacy,Financial,Workforce Resistance,0.69,2.53,-0.81,14.14,24.39,3,4,0.93,179.0,166.0,Low,Loss Avoided,12
RE320,2024,Best Buy,E-Commerce,Technology,Regulatory Non-Compliance,0.76,23.31,1.0,13.52,-0.54,7,6,0.82,349.0,286.0,High,Opportunity Captured,42
RE321,2023,Dollar General,Pharmacy,Financial,Customer Attrition,0.35,20.75,-7.45,5.72,23.01,1,1,0.5,8820.0,4410.0,Low,Loss Avoided,1
RE322,2019,Dollar General,Grocery,Technology,Workforce Resistance,0.74,3.68,2.03,11.21,25.21,5,8,0.59,6858.0,4046.0,High,Loss Realized,40
RE323,2020,Amazon,Retail,Technology,Workforce Resistance,0.87,14.34,-7.68,9.03,0.27,1,4,0.25,7794.0,1948.0,Low,Loss Avoided,4
RE324,2024,Home Depot,Grocery,Technology,Market Share Erosion,0.79,21.73,-4.08,5.73,24.81,7,6,0.54,162.0,87.0,High,Loss Realized,42
RE325,2021,Home Depot,E-Commerce,Technology,Supply Chain Disruption,0.19,14.51,-7.83,14.84,29.7,9,8,0.68,6369.0,4331.0,High,Loss Avoided,72
RE326,2019,Target,Consumer Electronics,Reputational,Data Breach,0.69,22.73,-7.15,1.35,20.44,9,4,0.51,10785.0,5500.0,Medium,Loss Avoided,36
RE327,2018,Amazon,Pharmacy,Competitive,Legacy Integration Failure,0.36,23.6,2.02,4.54,22.47,7,2,0.94,6668.0,6268.0,Low,Loss Avoided,14
RE328,2021,Walmart,Retail,Operational,Revenue Loss,0.89,10.85,-4.1,8.28,29.8,3,6,0.6,10997.0,6598.0,Medium,Loss Avoided,18
